"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Thu Apr 16 16:00:12 UTC 2026","passed","Thu Apr 16 16:00:12 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Thu Apr 16 16:00:12 UTC 2026","passed","Thu Apr 16 16:00:12 UTC 2026","","test_markers","",""
"","2593","test_edit_course[chromium]","LMS system","Thu Apr 16 16:00:09 UTC 2026","passed","Thu Apr 16 16:00:12 UTC 2026","Courses","Courses","",""
"","3100","User login with correct email or password","LMS system","Thu Apr 16 16:00:00 UTC 2026","passed","Thu Apr 16 16:00:03 UTC 2026","Authorization","Authentication","",""
"","1669","User login with wrong email or password","LMS system","Thu Apr 16 16:00:02 UTC 2026","passed","Thu Apr 16 16:00:03 UTC 2026","Authorization","Authentication","",""
"","1756","Registration with correct email, username and password","LMS system","Thu Apr 16 16:00:05 UTC 2026","passed","Thu Apr 16 16:00:07 UTC 2026","Registration","Authentication","",""
"","0","test_critical_login","tests.pytest","Thu Apr 16 16:00:12 UTC 2026","passed","Thu Apr 16 16:00:12 UTC 2026","","test_markers","",""
"","2301","Create course","LMS system","Thu Apr 16 16:00:10 UTC 2026","passed","Thu Apr 16 16:00:12 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Thu Apr 16 16:00:12 UTC 2026","passed","Thu Apr 16 16:00:12 UTC 2026","TestUserAuthentication","test_markers","",""
"","1491","User login with wrong email or password","LMS system","Thu Apr 16 16:00:03 UTC 2026","passed","Thu Apr 16 16:00:05 UTC 2026","Authorization","Authentication","",""
"","1413","Check displaying of dashboard page","LMS system","Thu Apr 16 16:00:12 UTC 2026","passed","Thu Apr 16 16:00:14 UTC 2026","Dashboard","Dashboard","",""
"","1688","User login with wrong email or password","LMS system","Thu Apr 16 16:00:00 UTC 2026","passed","Thu Apr 16 16:00:01 UTC 2026","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","Thu Apr 16 16:00:12 UTC 2026","passed","Thu Apr 16 16:00:12 UTC 2026","TestUserAuthentication","test_markers","",""
"","1268","Navigation from login page to registration page","LMS system","Thu Apr 16 16:00:04 UTC 2026","passed","Thu Apr 16 16:00:05 UTC 2026","Authorization","Authentication","",""
"","1628","Check displaying of empty courses list","LMS system","Thu Apr 16 16:00:07 UTC 2026","passed","Thu Apr 16 16:00:08 UTC 2026","Courses","Courses","",""
